dist,type,name,location,lng,lat,org,seat,a,b,c,d,dis,par
士林區,連鎖餐飲店,肯德基士林分公司,臺北市士林區文林路88號,121.525970,25.087298,怡和餐飲股份有限公司台北士林分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,麥當勞陽明山店,臺北市士林區格致路58之62號1.2樓,121.546660,25.137706,台灣麥當勞餐廳股份有限公司陽明山分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,摩斯漢堡格致店,臺北市士林區格致路59號,121.546447,25.138486,安心食品服務股份有限公司格致分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,摩斯漢堡士東店,臺北市士林區中山北路六段730號,121.530461,25.113250,安心食品服務股份有限公司士東分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,摩斯漢堡天母店,臺北市士林區天母北路85號,121.526942,25.122109,安心食品服務股份有限公司天母分公司,1,0,1,0,0,0,0
士林區,連鎖餐飲店,統一星巴克忠誠門市,臺北市士林區士東路123號,121.530848,25.112920,統一星巴克股份有限公司忠誠門市,1,0,1,0,0,0,0
士林區,連鎖餐飲店,方家小館,臺北市士林區天母東路7號,121.531341,25.118651,方家小館,2,0,2,0,0,0,0
士林區,連鎖餐飲店,我家牛排天母店,臺北市士林區天母西路13巷13號,121.527286,25.120244,天天來小吃店,1,0,1,0,0,0,0
士林區,連鎖餐飲店,SUBWAY天母東路門市,臺北市士林區天母東路31號,121.531960,25.118301,SUBWAY天母東路門市,1,1,0,0,0,0,0
士林區,機關,士林11號,臺北市士林區中山北路五段280巷14弄5號邊（面對復興廣播電台左邊巷子進入）,121.528224,25.087070,臺北市政府環境保護局,1,0,1,0,0,0,0
士林區,機關,士林1號,臺北市士林區大東路165號士林國小對面,121.525154,25.093267,臺北市政府環境保護局,1,0,1,0,0,0,0
士林區,醫院,聯合醫院陽明院區　　　　,臺北市士林區雨聲街105號,121.531750,25.105287,臺北市立聯合醫院陽明院區,14,14,0,0,0,2,0
士林區,醫院,新光醫院,臺北市士林區文昌路95號,121.520908,25.096428,新光醫療財團法人新光吳火獅紀念醫院,37,37,0,0,0,0,2
士林區,醫院,聯合醫院士林門診部,臺北市士林區中正路439號,121.519670,25.092808,臺北市立聯合醫院士林門診部,2,0,2,0,0,1,0
士林區,醫院,新光醫院聖賢樓,臺北市士林區士商路51號,121.519711,25.091196,新光醫療財團法人新光吳火獅紀念醫院,21,21,0,0,0,5,0
大同區,交通,捷運中山站(淡水信義線),臺北市大同區南京西路16號,121.520518,25.052433,捷運中山站,3,3,0,0,0,0,1
